document_name,category,text,answer
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,Expiration Date,"The term of this Agreement shall be effective as of the date first stated above and shall continue for a term of three (3) years, unless terminated earlier in accordance with the provisions of this Agreement (the ""Term""); provided, however, that PrimeCall may elect to terminate this Agreement, upon thirty (30) days\ written notice, at any time from and after the time that collectively RSL Communications, Ltd. and/or its Affiliates holds less than fifty percent (50%) of the voting control of DeltaThree\s outstanding shares.",10/01/2002
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,Governing Law,"This Agreement shall be governed by, and construed in accordance with, the laws of the State of New York, without giving effect to the conflict of laws principles thereof.",New York
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Document Name,CO-BRANDING AGREEMENT,CO-BRANDING AGREEMENT
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Parties,"Women.com, eDiets, WOMEN.COM NETWORKS, INC., EDIETS.COM, INC.","WOMEN.COM NETWORKS, INC. (""Women.com""); EDIETS.COM, INC. (""eDiets"")"
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Agreement Date,"May 22, 2000",5/22/00
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Effective Date,"May 22, 2000",5/22/00
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Expiration Date,"This Agreement will become effective as of the Effective Date and, unless sooner terminated pursuant to Sections 3.1 , shall remain effective for two (2) years from and after the Effective Date (the ""Initial Term"").",5/22/02
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Renewal Term,"This agreement shall automatically renew for additional successive terms of twelve (12) months each at the end of the Initial Term (""Renewal Terms""), unless either party notifies the other in writing at least sixty (60) days prior to the end of the Initial Term.",successive 1 year
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,Governing Law,"This Agreement shall be interpreted and enforced in accordance with the laws of the State of California as applied to agreements made, entered into and performed entirely in California by California residents, notwithstanding the actual residence of the parties, without giving effect to any choice of laws of California that would require the application of the laws of a state other than California.",California
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,Document Name,PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT,PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,Parties,"d/b/a Time Life Music, Integrity, TL, TIME LIFE, INC., INTEGRITY INCORPORATED","INTEGRITY INCORPORATED (""Integrity""); TIME LIFE, INC. d/b/a Time Life Music (""TL"")"
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,Agreement Date,10th day of January 2000,01/10/2000
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,Expiration Date,"This agreement shall commence as of date first above written, and shall Continue through December 31, 2004 (""the Term"").",12/31/04
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,Governing Law,"This Agreement has been entered into in the State of Tennessee, and the validity, interpretation and legal effect of this Agreement will be governed by the laws of the State of Tennessee applicable to contracts entered into and performed entirely within the State of Tennessee.",Tennessee
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,Most Favored Nation,"If for any reason, Integrity and TL are subject to lower ""free goods"" limits by any third party license, the foregoing shall be adjusted to comply with any such license(s).",Yes
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Document Name,ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT,ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Parties,"Endorser, collectively, Lender, Endorser, and Fitness are referred to as the ""AS Parties"", MusclePharm Corporation, Lender, Marine MP, LLC, Arnold Schwarzenegger, Fitness, collectively, ""MusclePharm"" or the ""Company"", Fitness Publications, Inc.","Marine MP, LLC (“Lender”); Arnold Schwarzenegger (“Endorser”); Fitness Publications, Inc. (“Fitness”); Lender, Endorser and Fitness (“AS Parties”); MusclePharm Corporation (""MusclePharm"" or ""Company"")"
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Agreement Date,"July 26, 2013",7/26/13
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Effective Date,"July 26, 2013",7/26/13
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Expiration Date,"The Term shall commence on July 23, 2013 and shall expire on July 22, 2016, unless otherwise terminated earlier pursuant to Section 9 of this Agreement., This Agreement shall have an Initial Term of three (3) years.",7/22/16
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Renewal Term,"If this Agreement is renewed for the Second Additional Term, then the Second Additional Term shall commence on July 23, 2019 and the Agreement shall expire and terminate automatically without further notice on July 22, 2022., In the event that MusclePharm shall achieve Net Sales (as defined below) of $20 million (the ""First Renewal Threshold"") in the aggregate during the Third Contract Year, then this Agreement shall automatically be renewed for an additional term of three (3) years (the ""First Additional Term"") on the same terms and conditions for the Initial Term except that: (i) no additional Stock Compensation (as defined below) shall be issued in connection with the renewal Term, (ii) the Cash Compensation for the First Additional Term shall be as set forth in Section 7 and Exhibit ""C"" Section (2) attached hereto, (iii) Endorser shall only be obligated to make two (2) Appearances in each Contract Year during the First Additional Term pursuant to Section 4(a)(ii) below and (iv) the marketing budget to promote the Licensed Products shall be $5.0 million during each Contract Year of the First Additional Term (subject to Section 12(b) of this Agreement)., If this Agreement is renewed for the First Additional Term, then the First Additional Term shall commence on July 23, 2016, and the Agreement shall expire and terminate automatically without further notice on July 22, 2019., In the event that MusclePharm shall achieve Net Sales of $50 million (the ""Second Renewal Threshold"") in the aggregate during the sixth Contract Year, then this Agreement shall automatically be renewed for an additional term of three (3) years (the ""Second Additional Term"") on the same terms and conditions for the initial Term except that: (i) no additional Stock Compensation (as defined below) shall be issued in connection with the renewal Term, (ii) the Cash Compensation for the renewal Term shall be as set forth in Section 7 and Exhibit ""C"" Section (3) attached hereto, (iii) Endorser shall only be obligated to make two (2) Appearances in each Contract Year during the Second Additional Term pursuant to Section 4(a)(ii) below and (iv) the marketing budget to promote the Licensed Products shall be $5.0 in each Contract Year of the Second Additional Term (subject to Section 12(b) of this Agreement).",7/22/2019; 7/22/2022
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,Governing Law,"This Agreement has been executed and delivered in Los Angeles County in the State of California, and its interpretation, validity and performance shall be construed and enforced in accordance with the laws of the State of California.",California
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Parties,"Skype, Online BVI and the Company may be referred to individually as ""Party"" and collectively as ""Parties."" Skype, Online BVI, the Company, Skype Holding and Tom Holding may be referred to individually as ""party to this Agreement"" and collectively as ""parties to this Agreement."", Skype, Tel-Online Limited, Online BVI, Skype Technologies, S.A., TOM Online (BVI) Limited, Skype Communications, S.A., Tom Holding, Company, TOM Online Inc., Skype Holding","Skype Communications, S.A. (""Skype""); Skype Technologies, S.A. (""Skype Holding""); TOM Online (BVI) limited(""Online BVI""); TOM Online Inc. (""Tom Holding""); Tel Online Limited (""Company""). Skype, Online BVI and the Company (“Party” and collectively as “Parties.”); Skype, Online BVI, the Company, Skype Holding and Tom Holding (“party to this Agreement” and collectively as “parties to this Agreement.”)"
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Agreement Date,22nd day of August 2005,8/22/05
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Effective Date,22nd day of August 2005,8/22/05
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Expiration Date,"The term of this Agreement shall continue for a period of five years following the initial date of execution of the Memorandum, unless terminated earlier pursuant to Section 6.2 or Section 2.8 (""Initial Term"").",8/22/10
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Renewal Term,"This Agreement shall automatically continue following the Initial Term, for an additional period of three (3) years, unless a party to this Agreement provides written notice of termination to the other parties at least sixty (60) days prior to the expiration of the Initial Term or this Agreement (""Extended Term"" and, with the Initial Term, ""Term"").",3 years
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Governing Law,"This Agreement will be governed by and construed in accordance with the laws of England and Wales, without regard to conflict of laws principles.","England, United Kingdom; Wales, United Kingdom"
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,Most Favored Nation,"""The Company will, and Online BVI will cause the Company to, use its commercially reasonable efforts to make available and promote the Online Groups existing payment processing and customer billing and payment gateway methods for the purchase of Skype premium features by Company-Skype Branded Customers, including, without limitation, prepaid card distribution networks, vouchers and mobile payment methods, provided, that all payment processing and customer billing and payment gateway charges for such payment methods are on terms that are as or more favourable than the most favourable pricing and terms for such services otherwise provided at the applicable time by any member of the Online Group, and provided further that such pricing and terms have first been mutually approved in writing by the Parties.""",Yes
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,Document Name,DEVELOPMENT AGREEMENT,DEVELOPMENT AGREEMENT
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,Parties,"also known as Stryker Orthopaedics (""Stryker""), Conformis, Howmedica Osteonics Corp., Conformis, Inc., Stryker and Conformis are collectively referred to herein as the ""Parties"" and individually as a ""Party.""","Howmedica Ostenonics Corp. (""Stryker""); Conformis, Inc. (""Conformis""); Stryker and Conformis (“Parties” and individually as a “Party.”)"
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,Agreement Date,"September 30, 2019",9/30/19
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,Effective Date,"September 30, 2019",9/30/19
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,Expiration Date,"The term of this Agreement shall begin as of the Effective Date and continue until Acceptance of all Deliverables for Milestones #1 and #2 pursuant to Section 3.4 and completion of Milestone #3, unless earlier terminated under Section 8.2, as provided for under the Other Agreements, or as mutually agreed by the Parties.",
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf,Governing Law,This Agreement shall be governed and construed in accordance with the laws of New York State (without regard to the conflict of laws provisions thereof).,New York
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Document Name,EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT,EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Parties,"Aucta Pharmaceuticals, Inc., Eton Pharmaceuticals, Inc., Aucta, ETON","Eton Pharmaceuticals, Inc. (“ETON”); Aucta Pharmaceuticals, Inc.(“Aucta”)"
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Agreement Date,"June 12, 2019",06/12/2019
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Effective Date,"The term of this Agreement shall automatically become effective upon the occurrence of (i) ETON executing a commercial supply agreement with a contract manufacturing organization within forty-five (45) days of the Execution Date, provided that ETON has exercised best efforts to execute such agreement and the failure to execute is solely caused by the refusal or inability of the proposed manufacturing organization to sign a reasonable agreement; and (ii) acceptance for review of the Dossier or marketing application for [ * * * ] by the FDA no later than September 2, 2019 (such date, the ""Effective Date"") and shall end upon the termination or expiration of the Agreement as set forth in Section 11 (the ""Term"").",09/02/2019
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Expiration Date,"The term of this Agreement shall automatically become effective upon the occurrence of (i) ETON executing a commercial supply agreement with a contract manufacturing organization within forty-five (45) days of the Execution Date, provided that ETON has exercised best efforts to execute such agreement and the failure to execute is solely caused by the refusal or inability of the proposed manufacturing organization to sign a reasonable agreement; and (ii) acceptance for review of the Dossier or marketing application for [ * * * ] by the FDA no later than September 2, 2019 (such date, the ""Effective Date"") and shall end upon the termination or expiration of the Agreement as set forth in Section 11 (the ""Term"").",Perpetual
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,Governing Law,"This Agreement shall be governed, interpreted and construed in accordance with the substantive laws of the Delaware, in the country of the United State of America, without regard to its conflict of laws principles.",Delaware
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,Document Name,JOINT DEVELOPMENT AGREEMENT,JOINT DEVELOPMENT AGREEMENT
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,Parties,"FuelCell Energy, Inc., FCE, ExxonMobil, ExxonMobil Research and Engineering Company","ExxonMobil Research and Engineering Company (“ExxonMobil”); FuelCell Energy, Inc. (“FCE”)"
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,Agreement Date,"November 5, 2019",11/05/2019
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,Effective Date,"""Effective Date"" means October 31, 2019.",10/31/19
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,Expiration Date,"Unless sooner terminated in accordance with this Article, this Agreement will continue in full force beginning on the Effective Date and ending two (2) years thereafter (""Term"").",10/31/21
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,Governing Law,The validity and interpretation of this Agreement and the legal relations of the Parties to it will be governed by the laws of the State of New York without recourse to its conflicts of law rules.,New York
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,Document Name,RECIPE DEVELOPMENT AGREEMENT,RECIPE DEVELOPMENT AGREEMENT
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,Parties,"B C Marketing Concepts Inc., dba Full Sail Brewing Company, ""Reeds"", ""Reeds, Inc."", Company","Reeds, Inc. (""Reeds""); BC Marketing Concepts Inc., dba Full Sail Brewing Company (""Company"")"
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,Agreement Date,"October 11, 2019",10/11/2019
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,Effective Date,"October 11, 2019",10/11/2019
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,Expiration Date,"The term of this Agreement shall commence on the Effective Date and shall continue for the longer of the first anniversary of the Effective Date or the duration of the Manufacturing and Distribution Agreement (the ""Term"").",
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.pdf,Governing Law,"This Agreement shall be governed by, and any dispute arising hereunder shall be determined in accordance with, the laws of State of New York (without giving effect to conflict of laws principles) including all matters of construction, validity and performance.",New York
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Document Name,Distributorship agreement,Distributorship agreement
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Parties,"CPM Medical Consultants, LLC, Signature Orthopaedics Pty Ltd","Signature Orthopaedics Pty Ltd; CPM Medical Consultants, LLC"
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Agreement Date,29/3/18,3/29/18
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Expiration Date,"""This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months prior written notice to expire on or after the expiry date of the initial term.""",3/29/19
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Renewal Term,"""This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months prior written notice to expire on or after the expiry date of the initial term.""",perpetual
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,Governing Law,This agreement and any dispute or claim arising out of or in connection with it or its subject matter or formation (including non-contractual disputes or claims) shall be governed by and construed in accordance with Ohio law.,Ohio
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,Document Name,DISTRIBUTOR AGREEMENT,DISTRIBUTOR AGREEMENT
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,Parties,"XXXXXXXXXXXXXXXXXXXXX, Distributor, Company, B & C General Warehouse Corporation LLC","B & C General Warehouse Corporation LLC (""Company""); XXXXXXXXXXXXXXXXXXXXX (""Distributor"")"
